GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
UMSL,com.futureairlies.casestudy.aop.logging,LoggingAspect,177,0,10,0,24,0,10,0,5,0
UMSL,com.futureairlies.casestudy.security,SecurityUtils,99,0,4,0,23,0,13,0,11,0
UMSL,com.futureairlies.casestudy.web.rest.errors,ExceptionTranslator,44,139,5,9,11,30,7,6,2,4
UMSL,com.futureairlies.casestudy.web.rest.errors,ErrorConstants,0,10,0,0,0,3,0,1,0,1
UMSL,com.futureairlies.casestudy.web.rest.errors,FieldErrorVM,0,21,0,0,0,8,0,4,0,4
UMSL,com.futureairlies.casestudy.web.rest.errors,BadRequestAlertException,54,0,0,0,12,0,5,0,5,0
UMSL,com.futureairlies.casestudy.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
UMSL,com.futureairlies.casestudy.config,LoggingConfiguration,3,59,6,4,0,17,5,1,0,1
UMSL,com.futureairlies.casestudy.config,LoggingAspectConfiguration,5,3,0,0,1,1,1,1,1,1
UMSL,com.futureairlies.casestudy.config,WebConfigurer,38,76,6,2,8,18,5,4,1,4
UMSL,com.futureairlies.casestudy.config,FeignConfiguration,0,5,0,0,0,2,0,2,0,2
UMSL,com.futureairlies.casestudy.config,DefaultProfileUtil,13,0,0,0,4,0,1,0,1,0
UMSL,com.futureairlies.casestudy.config,SecurityConfiguration,0,138,0,0,0,40,0,4,0,4
UMSL,com.futureairlies.casestudy.config,LocaleConfiguration,0,24,0,0,0,8,0,3,0,3
UMSL,com.futureairlies.casestudy.config,DateTimeFormatConfiguration,0,14,0,0,0,5,0,2,0,2
UMSL,com.futureairlies.casestudy.config,JacksonConfiguration,0,23,0,0,0,6,0,6,0,6
UMSL,com.futureairlies.casestudy.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
UMSL,com.futureairlies.casestudy.client,UserFeignClientInterceptor,27,3,0,0,3,1,2,1,2,1
UMSL,com.futureairlies.casestudy.security.jwt,JWTConfigurer,0,18,0,0,0,6,0,2,0,2
UMSL,com.futureairlies.casestudy.security.jwt,JWTFilter,45,6,8,0,11,3,6,1,2,1
UMSL,com.futureairlies.casestudy.security.jwt,TokenProvider,149,59,3,1,41,15,5,2,3,2
UMSL,com.futureairlies.casestudy,UmslApp,110,24,10,2,23,8,8,3,2,3
UMSL,com.futureairlies.casestudy,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
